,names,types,betas,alphas,temps,pearson,kendall,spearman
0,human,1,1,1,1,1.0,0.9999999999999999,1.0
1,bleu,1,1,1,1,0.5367818516239273,0.33807741908486366,0.4800323695612451
2,"roberta-base_lm_wsw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.5695994019980143,0.40172827732295646,0.5549699078374661
3,"roberta-base_idf_wsw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7423838703625809,0.5395094931391188,0.7195236979004996
4,"roberta-base_none_wsw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7127683374813141,0.5074770438488359,0.681478934982225
5,"roberta-base_lm_wstopw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.5748524025721383,0.4094077283790354,0.5656453433078394
6,"roberta-base_idf_wstopw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.6535657577390402,0.4491356609822993,0.6139964201934246
7,"roberta-base_none_wstopw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7186020509993765,0.5149522035543788,0.6890150947421954
8,"roberta-base_lm_wsw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6182453578170525,0.42290688869055604,0.5888686058729645
9,"roberta-base_idf_wsw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.7041913559766191,0.4955650769706174,0.6701092246847646
10,"roberta-base_none_wsw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6887080829966172,0.4785708846544513,0.6496231252653677
11,"roberta-base_lm_wstopw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6227295583486722,0.4257703530864309,0.5913822463016836
12,"roberta-base_idf_wstopw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6034628192585177,0.4127905345853665,0.566416898449612
13,"roberta-base_none_wstopw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.7005602979394692,0.490627141844788,0.6627895788791669
14,"roberta-base_lm_wsw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.5427189926697813,0.3946420197722532,0.5466767220676136
15,"roberta-base_idf_wsw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7433166250688084,0.5410806543155191,0.7194519856084872
16,"roberta-base_none_wsw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7117088767936566,0.5083267534646442,0.6813726625494837
17,"roberta-base_lm_wstopw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.5432936434607442,0.4008945999640502,0.5530128438683016
18,"roberta-base_idf_wstopw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.6566789459889231,0.45561269277072486,0.6203559660894955
19,"roberta-base_none_wstopw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7177915965242883,0.5168119602633033,0.6899759147007736
20,"bert-base-uncased_lm_wsw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.6706704365686553,0.46029411178612156,0.6374624677471703
21,"bert-base-uncased_idf_wsw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7314754426774183,0.5360304933913754,0.7156351060661538
22,"bert-base-uncased_none_wsw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7258312949364254,0.5239101071734305,0.7010856708208535
23,"bert-base-uncased_lm_wstopw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.6556751226127466,0.4529808333373979,0.624609611372869
24,"bert-base-uncased_idf_wstopw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7313382602216933,0.5258061284849135,0.706459470613024
25,"bert-base-uncased_none_wstopw_nbarycentersTrue_range(8, 13)",1,1,1,1,0.7274902731227196,0.5239143070051453,0.7051665372861387
26,"bert-base-uncased_lm_wsw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.631840452020868,0.41932535997950077,0.5838881196057406
27,"bert-base-uncased_idf_wsw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6943274637873678,0.49484362541002547,0.6676895348317875
28,"bert-base-uncased_none_wsw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6994048627693397,0.4914287546898902,0.6616252861381668
29,"bert-base-uncased_lm_wstopw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6075125115666468,0.41211717979548074,0.5719169528458334
30,"bert-base-uncased_idf_wstopw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6899559296908365,0.48758101303339973,0.6598959350962494
31,"bert-base-uncased_none_wstopw_nbarycentersTrue_range(0, 13)",1,1,1,1,0.6887924882502481,0.48732449692296703,0.6590611156968649
32,"bert-base-uncased_lm_wsw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.6780279622154475,0.4690896848648523,0.6486663529373846
33,"bert-base-uncased_idf_wsw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7305058637648415,0.5356296869688243,0.7146175979228606
34,"bert-base-uncased_none_wsw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7235115587775961,0.5190463976041421,0.699256064152842
35,"bert-base-uncased_lm_wstopw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.6615724714819424,0.45805443140726343,0.6310916644134925
36,"bert-base-uncased_idf_wstopw_nbarycentersTrue_range(10, 13)",1,1,1,1,0.7198078184631492,0.5146695739270477,0.6947981418931923
